Sex,Marital status,Age,Education,Income,Occupation,Settlement size,component 1,component 2,component 3,K-means PCA
0,0,67,2,124670,1,2,2.514745929071184,0.834122386573941,2.174805904238939,3
1,1,22,1,150773,1,2,0.3449352773984441,0.5981456362864358,-2.211602790310859,2
0,0,49,1,89210,0,0,-0.6510626672489165,-0.6800931775067894,2.2804185984197223,0
0,0,45,1,171565,1,1,1.7143162580925257,-0.5799265044202571,0.7307310859504093,1
0,0,53,1,149031,1,1,1.6267445467356987,-0.4404955250904671,1.2449088848402627,1
0,0,35,1,144848,0,0,-0.27473364766862113,-0.8710700778173803,1.3101518372044794,0
0,0,53,1,156495,1,1,1.729503710398145,-0.416068958725949,1.2124541252752732,1
0,0,35,1,193621,2,1,2.510377341351526,-0.7512564130560823,-0.5049165465040123,1
0,1,61,2,151591,0,0,0.4198913408327443,1.9361148117961755,2.209117474119049,3
0,1,28,1,174646,2,0,1.0987288359811138,0.11113129467793206,-1.306561487479053,1
1,1,25,1,108469,1,0,-1.2983141563589247,0.7110800056355082,-1.1435911988218115,2
1,1,24,1,127596,1,0,-1.0628195079369884,0.7470277950690809,-1.2787832042557747,2
1,1,22,1,108687,1,2,-0.23447551599621205,0.460415669510296,-2.0286056023349555,2
0,0,60,2,89374,0,0,-0.08108348107489742,0.6805625802045173,3.311599643296578,0
1,1,28,1,102899,1,1,-0.7193326961002361,0.6870739877557369,-1.327294834100952,2
1,1,32,1,88428,0,0,-2.150131896621006,0.8090634013638647,-0.07277866384891477,2
0,0,53,1,125550,1,0,0.731306888606311,-0.4316205731123252,1.7110048094014447,0
0,0,25,0,157434,1,2,1.273723367670648,-2.3118312451809846,-1.0719361092440889,1
1,1,44,2,261952,2,2,3.520185656531804,2.638182664646767,-1.7103637464028094,3
0,0,31,0,144657,1,1,0.6926464937246042,-2.1080450159389756,-0.34023596338418644,1
0,0,48,1,118777,1,1,1.0710655441640176,-0.6727388947852527,1.1163359459444218,1
0,0,44,1,147511,1,1,1.3553249142706127,-0.6852921611531172,0.7832975173835157,1
0,0,48,1,89804,0,0,-0.670717480262687,-0.7047961858269163,2.225811273990307,0
0,0,44,1,134918,1,2,1.7541208159746142,-0.8122223053919269,0.474057567708109,1
0,1,26,1,103667,1,2,0.4394739346860119,-0.3688434876367944,-1.2104753032125875,1
0,0,36,1,71909,0,0,-1.2510745065679905,-1.08312215305045,1.679327701388605,0
0,1,39,1,68264,0,0,-1.6011767347722838,0.010185002863825265,0.9672738895514341,0
1,1,42,2,163025,1,1,0.7596594019412037,2.3239011918650987,-0.4007653789825705,3
0,0,34,1,119307,1,1,0.6887059261357802,-1.044061349653167,0.3856882750436806,1
0,0,63,2,175882,1,0,1.964131634140904,1.0665672514335462,2.472022226167912,3
0,1,36,1,159646,1,1,0.9163122438825533,0.1665402141462921,-0.5696400661431749,1
0,0,27,0,120131,1,1,0.24365920565034638,-2.2948961017835594,-0.44169072441677826,1
0,0,30,0,162745,1,2,1.48600448449308,-2.1612159361547647,-0.8349067035972391,1
0,0,57,2,87605,0,0,-0.1889356197632274,0.5948326097510496,3.163218030567722,0
1,1,33,1,155569,2,1,0.9156895406443298,1.0156348106998434,-1.9156897701364763,2
0,0,25,0,104505,0,0,-1.3700367847058708,-2.3365680616055924,0.505700525302069,0
0,0,31,0,143385,1,2,1.2473020540329134,-2.197926237641249,-0.6987015739699957,1
0,0,37,1,127676,1,1,0.887422277065823,-0.9367323253403985,0.5053719492504398,1
0,0,37,1,119276,1,1,0.7717769160309156,-0.9642220302522356,0.541896598278563,1
0,0,24,0,92542,1,1,-0.21966474517147258,-2.465124189001745,-0.47780252310918897,1
0,0,30,0,163329,2,1,1.6926123462921199,-2.0506270400463946,-1.0929487904254425,1
0,1,26,1,130921,1,0,-0.32964708221958716,-0.10821549561659446,-0.6009874245986979,2
0,0,44,1,133658,0,0,-0.17829646029325846,-0.6678679833534741,1.8270284771787793,0
0,1,24,1,155104,1,1,0.5197900397080973,-0.16808694001917474,-1.1741847861820827,1
1,1,58,2,142335,0,1,0.14940000984840932,2.659582989137799,1.1410897096068349,3
1,1,35,1,138387,2,1,0.734804892339453,1.012699120154392,-1.7369304502590985,2
0,0,39,1,140182,1,0,0.5430938040678668,-0.7567930495675339,0.91903920985849,1
1,1,23,1,65421,0,0,-2.7173696091524073,0.49394875465351906,-0.44096084872622315,2
0,0,39,1,130500,0,0,-0.3609365696980526,-0.811437419204077,1.5806374561322212,0
1,1,28,1,122831,1,0,-1.0170903472524295,0.838021625369305,-1.0499661224276167,2
0,0,29,0,84531,0,0,-1.5336945640189197,-2.2953469601153835,0.8006489627336467,0
0,0,30,0,180196,2,2,2.4969930499114033,-2.08114686205869,-1.530285902049481,1
0,0,25,0,92058,1,2,0.3736720435018263,-2.525779691409111,-0.7876699836652102,1
0,0,31,0,117158,1,0,-0.2581081954331478,-2.1123193061436627,0.14333091829544797,0
0,0,57,2,135830,1,1,1.8178955583115768,0.6898936863835091,1.9700316854873812,3
0,0,26,0,58258,0,0,-1.9789007416119364,-2.4612683268973816,0.75881496902683,0
0,0,52,1,202575,2,2,3.678971427378868,-0.35467449776522597,-0.023429899747812705,1
1,1,31,1,183657,1,1,0.47598508815789115,1.031302089314097,-1.522371019239051,2
1,1,23,1,152267,2,1,0.5919039787584571,0.7383595069277183,-2.4215772041546835,2
1,1,23,1,115240,0,0,-2.0314962470812112,0.6569856128681392,-0.6575824546705169,2
0,1,27,1,106955,1,2,0.5125734252637717,-0.33143630854669726,-1.1727475844411694,1
0,0,50,1,123641,1,1,1.1936948993562322,-0.6035272002728042,1.1992354548129895,1
0,0,61,2,166410,2,1,3.120965438028582,0.9195162074098565,1.4256633700883878,3
0,0,25,0,227385,1,2,2.2367601116888394,-2.0829107275276617,-1.3760951240257846,1
1,1,26,1,118372,1,1,-0.561976371844009,0.6844168323851966,-1.498623127170108,2
0,0,48,1,148115,1,1,1.4749707348833165,-0.5767278277967438,0.9887692610411982,1
1,1,29,1,111069,1,0,-1.1511887951955455,0.8261764164923608,-0.9467984074808112,2
0,1,22,1,139780,1,0,-0.3190128967045136,-0.18581136735621603,-0.8476059246555626,2
0,0,37,1,106978,1,2,1.1746341726760239,-1.0901867622352128,0.23137393771466871,1
1,1,25,1,110019,1,2,-0.13263968954267433,0.5447155207915647,-1.8783238382221366,2
1,1,30,1,169102,1,1,0.24776937343961927,0.9570227072190393,-1.5111078784152472,2
0,0,46,1,73703,0,0,-0.9480500404488604,-0.8107819058267831,2.191772179541861,0
0,0,51,1,141858,2,2,2.81522938455424,-0.5800228986865005,0.18855358017554144,1
